lilly_id,nct_id,title,phase,lead_sponsor,start_date,doc_type,filename,status,local_path,timestamp
Pro00116493,NCT06906627,Implementation pRogram to Improve Screening and Management for CKD in Diabetes (Program 1) (IRIS-CKD),N/A,Duke University,2025-10-28,N/A,N/A,no_documents,,2026-06-15T12:18:02.169409
J5V-MC-ORAA,NCT06809400,A Study of LY4006896 in Healthy Participants and Participants With Parkinson's Disease,Phase 1,Eli Lilly and Company,2025-02-18,N/A,N/A,no_documents,,2026-06-15T12:18:02.169491
J2A-MC-GZGW,NCT06109311,"A Study of Orforglipron (LY3502970) in Participants With Type 2 Diabetes and Inadequate Glycemic Control With Insulin Glargine, With or Without Metformin and/or SGLT-2 Inhibitor",Phase 3,Eli Lilly and Company,2023-11-10,N/A,N/A,no_documents,,2026-06-15T12:18:02.169606
I8F-MC-GPJA,NCT06914895,A Study of Tirzepatide (LY3298176) Compared With Placebo in Adults With Type 1 Diabetes and Obesity or Overweight,Phase 3,Eli Lilly and Company,2025-04-25,N/A,N/A,no_documents,,2026-06-15T12:18:02.169732
79204,NCT06868381,A Trial of Baricitinib in Patients With Cardiac Sarcoidosis,Phase 2,Stanford University,2026-04-01,N/A,N/A,no_documents,,2026-06-15T12:18:02.169837
CA209-79X,NCT04151563,A Clinical Study Evaluating Nivolumab-containing Treatments in Patients With Advanced Non-small Cell Lung Cancer After Failing Previous PD-1/(L)1 Therapy and Chemotherapy,Phase 1/Phase 2,Bristol-Myers Squibb,2021-04-15,N/A,N/A,no_documents,,2026-06-15T12:18:02.169907
CIP335,NCT05325294,Evaluation of the Advanced Hybrid Closed Loop (AHCL) System in Type 1 Adults and Pediatrics Utilizing Lyumjev®,N/A,"Medtronic MiniMed, Inc.",2022-05-05,Prot,Prot_000.pdf,downloaded,lilly_trial_docs/CIP335_05MAY2022/Prot_Prot_000.pdf,2026-06-15T12:18:03.653164
CIP335,NCT05325294,Evaluation of the Advanced Hybrid Closed Loop (AHCL) System in Type 1 Adults and Pediatrics Utilizing Lyumjev®,N/A,"Medtronic MiniMed, Inc.",2022-05-05,SAP,SAP_001.pdf,downloaded,lilly_trial_docs/CIP335_05MAY2022/SAP_SAP_001.pdf,2026-06-15T12:18:04.677664
202512332,NCT07572773,CHAMP Lung Cancer Screening Program,N/A,Jill Kolesar,2026-06-01,N/A,N/A,no_documents,,2026-06-15T12:18:04.678037
J3F-MC-EZCB,NCT05256654,A Study of LY3561774 in Participants With Mixed Dyslipidemia,Phase 2,Eli Lilly and Company,2022-07-20,Prot,Prot_000.pdf,downloaded,lilly_trial_docs/J3F-MC-EZCB_20JUL2022/Prot_Prot_000.pdf,2026-06-15T12:18:05.776051
J3F-MC-EZCB,NCT05256654,A Study of LY3561774 in Participants With Mixed Dyslipidemia,Phase 2,Eli Lilly and Company,2022-07-20,SAP,SAP_001.pdf,downloaded,lilly_trial_docs/J3F-MC-EZCB_20JUL2022/SAP_SAP_001.pdf,2026-06-15T12:18:07.013166
I3Y-US-I001,NCT04298983,Abemaciclib in Combination With Androgen Deprivation Therapy for Locally Advanced Prostate Cancer,Phase 2,University of Alabama at Birmingham,2021-02-25,Prot_SAP,Prot_SAP_000.pdf,downloaded,lilly_trial_docs/I3Y-US-I001_25FEB2021/Prot_SAP_Prot_SAP_000.pdf,2026-06-15T12:18:08.400439
J3M-OX-JZQF,NCT06719128,A Study of Olomorasib (LY3537982) in Participants With Hepatic Impairment and Healthy Participants,Phase 1,Eli Lilly and Company,2024-12-06,N/A,N/A,no_documents,,2026-06-15T12:18:08.401062
J3W-MC-GZOA,NCT05395481,A Single-Ascending and Repeated Dose Study of LY3849891 in Participants With Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD),Phase 1,Eli Lilly and Company,2022-06-08,N/A,N/A,no_documents,,2026-06-15T12:18:08.401205
H8H-MC-LAIO,NCT04749914,A Study of Lasmiditan in Healthy Volunteers,Phase 1,Eli Lilly and Company,2021-02-15,Prot,Prot_000.pdf,downloaded,lilly_trial_docs/H8H-MC-LAIO_15FEB2021/Prot_Prot_000.pdf,2026-06-15T12:18:09.830796
H8H-MC-LAIO,NCT04749914,A Study of Lasmiditan in Healthy Volunteers,Phase 1,Eli Lilly and Company,2021-02-15,SAP,SAP_001.pdf,downloaded,lilly_trial_docs/H8H-MC-LAIO_15FEB2021/SAP_SAP_001.pdf,2026-06-15T12:18:11.298387
J2A-JE-GZPE,NCT06010004,A Long-term Safety Study of Orforglipron (LY3502970) in Participants With Type 2 Diabetes,Phase 3,Eli Lilly and Company,2023-09-28,N/A,N/A,no_documents,,2026-06-15T12:18:11.298647
J2T-MC-KGBW,NCT06280716,A Study of Lebrikizumab (LY3650150) With/Without Topical Corticosteroid Treatment in Participants With Moderate-to-Severe Atopic Dermatitis,Phase 3,Eli Lilly and Company,2024-04-24,N/A,N/A,no_documents,,2026-06-15T12:18:11.298789
J1I-MC-GZBU,NCT05936151,A Study of Retatrutide (LY3437943) on Renal Function in Participants With Overweight or Obesity and Chronic Kidney Disease With or Without Type 2 Diabetes,Phase 2,Eli Lilly and Company,2023-07-20,N/A,N/A,no_documents,,2026-06-15T12:18:11.298901
J2V-MC-GZLC,NCT05887999,A Study of LY3532226 in Participants With Type 1 Diabetes Mellitus,Phase 1,Eli Lilly and Company,2023-06-12,N/A,N/A,no_documents,,2026-06-15T12:18:11.299006
